"","Meses","hn","variable","paisx","pond","ln_hn","ln_x","dln_hn","dln_x","d12ln_hn","d12ln_x","dln_itcer","d12ln_itcer"
"1",1995-01-01,14.4298965862749,"ip","cr",0.0413,2.66930220618178,2.72949666791923,NA,NA,NA,NA,NA,NA
"2",1995-02-01,15.1436137287793,"ip","cr",0.0413,2.71757890702991,2.74404007948693,4.82767008481257,1.45434115676952,NA,NA,0.139318484728178,NA
"3",1995-03-01,15.3563563385643,"ip","cr",0.0413,2.73152948203761,2.75216766408359,1.39505750076983,0.812758459665819,NA,NA,0.0240489503975955,NA
"4",1995-04-01,15.7498157889192,"ip","cr",0.0413,2.75682866926161,2.75775600523364,2.52991872240034,0.558834115004991,NA,NA,0.0814057942854278,NA
"5",1995-05-01,16.0357601569098,"ip","cr",0.0413,2.77482123812749,2.76700106337769,1.79925688658806,0.92450581440513,NA,NA,0.0361272192811551,NA
"6",1995-06-01,16.1844512282649,"ip","cr",0.0413,2.78405098061029,2.78161764516052,0.922974248280228,1.46165817828283,NA,NA,-0.0222476463091075,NA
"7",1995-07-01,16.4017689479377,"ip","cr",0.0413,2.79738919169252,2.79840461010977,1.33382110822278,1.67869649492567,NA,NA,-0.0142433534708294,NA
"8",1995-08-01,16.6190866676105,"ip","cr",0.0413,2.81055183410324,2.80904929962119,1.31626424107174,1.06446895114143,NA,NA,0.0103991454741219,NA
"9",1995-09-01,16.9599323542552,"ip","cr",0.0413,2.83085364180953,2.82769785869926,2.03018077062942,1.86485590780729,NA,NA,0.00682791683455376,NA
"10",1995-10-01,17.2756149365168,"ip","cr",0.0413,2.84929596592419,2.85727908271684,1.8442324114659,2.95812240175746,NA,NA,-0.0460036565990415,NA
"11",1995-11-01,17.5158082056289,"ip","cr",0.0413,2.86310379921198,2.88054883073179,1.38078332877867,2.32697480149588,NA,NA,-0.0390777078232211,NA
"12",1995-12-01,17.7857396890119,"ip","cr",0.0413,2.87839699514629,2.89198374977612,1.52931959343112,1.14349190443264,NA,NA,0.0159346835556375,NA
"13",1996-01-01,17.874954331825,"ip","cr",0.0413,2.88340053371387,2.90435947942551,0.500353856758151,1.2375729649392,21.4098327532088,17.4862811506279,-0.0304471491678775,0.162042681186593
"14",1996-02-01,18.3827915293762,"ip","cr",0.0413,2.91141498403368,2.91499787763057,2.80144503198092,1.06383982050557,19.3836077003771,17.0957798143639,0.0717630952339318,0.0944872916923462
"15",1996-03-01,18.6664483424228,"ip","cr",0.0413,2.92672770605701,2.92027493473141,1.5312722023328,0.527705710084403,19.5198224019401,16.8107270647825,0.0414472961298588,0.11188563742461
"16",1996-04-01,19.053045127946,"ip","cr",0.0413,2.9472269380342,2.92761634158978,2.04992319771882,0.734140685836771,19.0398268772586,16.9860336356143,0.0543418177407285,0.0848216608799105
"17",1996-05-01,19.448792133245,"ip","cr",0.0413,2.96778496701759,2.94419703232283,2.05580289833942,1.65806907330506,19.29637288901,17.7195968945142,0.0164264069739192,0.0651208485726744
"18",1996-06-01,19.9406164461887,"ip","cr",0.0413,2.99275867911043,2.9579762755995,2.49737120928399,1.3779243276665,20.8707698500137,17.6358630438979,0.0462331562108024,0.133601651092584
"19",1996-07-01,20.3981274349736,"ip","cr",0.0413,3.01544310423373,2.96956622644829,2.26844251233036,1.15899508487942,21.8053912541213,17.1161616338516,0.0458201787537237,0.193665183317138
"20",1996-08-01,20.9631535061229,"ip","cr",0.0413,3.04276630167224,2.97904024395766,2.73231974385078,0.947401750937393,23.2214467569003,16.9990944336476,0.0737171131073227,0.256983150950338
"21",1996-09-01,21.3200120773751,"ip","cr",0.0413,3.05964616577849,2.98842534618539,1.68798641062495,0.938510222772182,22.8792523968959,16.0727487486125,0.0309533665583194,0.281108600674104
"22",1996-10-01,21.6356946596366,"ip","cr",0.0413,3.07434448130267,3.00112703136051,1.46983155241842,1.27016851751214,22.5048515378484,14.3847948643672,0.0082460833416295,0.335358340614775
"23",1996-11-01,22.0657549890944,"ip","cr",0.0413,3.09402685872777,3.01126959597051,1.96823774250965,1.01425646100077,23.0923059515794,13.0720765238721,0.0393994269263166,0.413835475364313
"24",1996-12-01,22.2876478186551,"ip","cr",0.0413,3.10403261552419,3.02178594527958,1.00057567964238,1.05163493090656,22.5635620377906,12.980219550346,-0.00210874707721084,0.395792044731464
"25",1997-01-01,22.7520214722717,"ip","cr",0.0413,3.12465399737354,3.04249256745566,2.06213818493421,2.0706622176081,24.1253463659667,13.8133088030149,-0.000352042549431428,0.425887151349911
"26",1997-02-01,23.3147599884771,"ip","cr",0.0413,3.1490866359108,3.04852927025509,2.44326385372617,0.603670279942969,23.767165187712,13.3531392624523,0.0759752145972464,0.430099270713225
"27",1997-03-01,23.4931892741032,"ip","cr",0.0413,3.15671056102146,3.05957910644168,0.76239251106589,1.10498361865852,22.998285496445,13.9304171710264,-0.0141490127435755,0.374502961839791
"28",1997-04-01,23.6304425707387,"ip","cr",0.0413,3.16253582021254,3.07277010962793,0.582525919108079,1.31910031862539,21.5308882178343,14.515376803815,-0.0304205227000649,0.289740621398997
"29",1997-05-01,23.9278247134489,"ip","cr",0.0413,3.17504199571777,3.07772842494735,1.25061755052291,0.495831531942326,20.7257028700178,13.3531392624523,0.0311726625673783,0.304486876992456
"30",1997-06-01,24.2343570759347,"ip","cr",0.0413,3.18777134020333,3.08578937320899,1.27293444855585,0.806094826163228,19.5012661092897,12.781309760949,0.0192804764048153,0.277534197186469
